,City,State,NO2,PM10,SO2,Cluster
0,Chitoor,Andhra Pradesh,9.0,39.0,4.0,1
1,Guntur,Andhra Pradesh,11.0,81.0,2.0,1
2,Hydrabad,Andhra Pradesh,24.0,79.0,5.0,1
3,Kothagudem,Andhra Pradesh,11.0,62.0,2.0,1
4,Kurnool,Andhra Pradesh,9.0,85.0,4.0,1
5,Nalgonda,Andhra Pradesh,22.999999999999996,85.0,5.0,1
6,Nellore,Andhra Pradesh,12.0,65.0,2.0,1
7,Patencheru,Andhra Pradesh,22.999999999999996,76.0,11.0,1
8,Ramagundam,Andhra Pradesh,12.0,68.0,4.0,1
9,Tirupati,Andhra Pradesh,9.0,37.0,4.0,1
10,Vijaywada,Andhra Pradesh,14.0,93.0,6.0,1
11,Warangal,Andhra Pradesh,10.0,52.0,4.0,1
12,Vishakhapatnam,Andhra Pradesh,16.0,71.0,7.0,1
13,Bongaigaon,Assam,15.0,58.0,6.0,1
14,Daranga,Assam,14.0,58.0,5.0,1
15,Dibrugarh,Assam,14.0,38.0,6.0,1
16,Golaghat,Assam,15.0,73.0,6.0,1
17,Guwahati,Assam,15.0,94.0,7.0,1
18,Lakhimpur,Assam,15.0,76.0,6.0,1
19,Nagaon,Assam,14.0,103.00000000000001,6.0,1
20,Nalbari,Assam,16.0,68.0,7.0,1
21,Sibsagar,Assam,14.0,59.0,6.0,1
22,Silchar,Assam,16.0,81.0,6.0,1
23,Tezpur,Assam,13.0,68.0,6.0,1
24,Tinsukia,Assam,16.0,58.0,7.0,1
25,Patna,Bihar,40.0,181.0,7.0,2
26,Chandigarh,Chandigarh,16.0,92.0,2.0,1
27,Bhillai,Chattisgarh,22.0,109.0,9.0,1
28,Bilaspur,Chattisgarh,19.0,98.61149089102462,8.0,1
29,Korba,Chattisgarh,21.0,104.00000000000001,13.0,1
30,Raipur,Chattisgarh,42.99999999999999,289.0,15.000000000000002,2
31,Silvassa,Dadra and Nagar Haveli,18.0,39.0,7.0,1
32,Daman,Daman and Diu,18.0,35.0,7.0,1
33,Delhi,Delhi,55.0,261.0,5.0,2
34,Panaji,Goa,17.0,85.0,4.0,1
35,Marmagao,Goa,18.0,59.0,32.0,1
36,Vasco,Goa,19.0,61.0,6.0,1
37,Curchorem,Goa,17.0,38.0,32.0,1
38,Codli,Goa,26.999999999999996,90.0,10.0,1
39,Bicholim,Goa,50.0,89.0,9.0,3
40,Amona,Goa,18.0,55.0,6.0,1
41,Assanora,Goa,16.0,71.0,5.0,1
42,Honda,Goa,24.999999999999996,100.0,8.0,1
43,Usgao,Goa,10.0,245.0,6.0,1
44,Ahmedabad,Gujarat,21.0,95.0,15.000000000000002,1
45,Anklesvar,Gujarat,24.0,77.0,16.0,1
